region_id,location_label,latitude,longitude,target_date,rainfall_mm_7d,flood_proxy,sanitation_access_pct,population_density_km2,temperature_c,surface_water_index,wash_access_basic_water_pct,rainfall_anomaly_zscore,risk_score
BD-4047,Khulna,22.22168,89.44148,2026-02-16,0.0,0.0,83.2,497.0,27.39,0.18,97.0,-0.981,17.14
BD-4047,Khulna,22.22168,89.44148,2026-02-23,3.5,0.175,83.2,497.0,27.8,0.288,97.0,-0.163,23.79
BD-4047,Khulna,22.22168,89.44148,2026-03-02,2.0,0.1,83.2,497.0,27.63,0.242,97.0,-0.514,20.94
BD-4047,Khulna,22.22168,89.44148,2026-03-09,11.3,0.565,83.2,497.0,28.71,0.663,97.0,1.658,48.55
BD-1006,Barisal,22.7007,90.28626,2026-02-16,0.0,0.0,76.9,789.0,27.35,0.18,99.0,-0.87,15.49
BD-1006,Barisal,22.7007,90.28626,2026-02-23,0.1,0.005,76.9,789.0,27.36,0.183,99.0,-0.844,15.68
BD-1006,Barisal,22.7007,90.28626,2026-03-02,3.9,0.195,76.9,789.0,27.77,0.311,99.0,0.128,31.66
BD-1006,Barisal,22.7007,90.28626,2026-03-09,9.6,0.48,76.9,789.0,28.38,0.604,99.0,1.586,51.24
BD-3026,Dhaka,23.73098,90.20788,2026-02-16,0.0,0.0,86.1,12372.0,27.24,0.18,99.8,-0.598,74.51
BD-3026,Dhaka,23.73098,90.20788,2026-02-23,0.0,0.0,86.1,12372.0,27.24,0.18,99.8,-0.598,74.51
BD-3026,Dhaka,23.73098,90.20788,2026-03-02,0.4,0.02,86.1,12372.0,27.3,0.192,99.8,-0.536,75.27
BD-3026,Dhaka,23.73098,90.20788,2026-03-09,15.2,0.76,86.1,12372.0,29.5,0.79,99.8,1.732,100.0
